"filename", "language", "HTML", "SVG", "JavaScript", "Python", "CSS", "SQL", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datetimepicker-zh-CN.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 1, 17
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datetimepicker.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap.js", "JavaScript", 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\jquery-3-7-1.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 1, 3
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\sweetalert2.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\static\svg\404.svg", "SVG", 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\Desktop\LabWeb\LabWebProject\static\svg\achievement.svg", "SVG", 0, 5, 0, 0, 0, 0, 1, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_left.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_right.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_top.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\building.svg", "SVG", 0, 40, 0, 0, 0, 0, 0, 0, 40
"d:\Desktop\LabWeb\LabWebProject\static\svg\close.svg", "SVG", 0, 6, 0, 0, 0, 0, 1, 5, 12
"d:\Desktop\LabWeb\LabWebProject\static\svg\control.svg", "SVG", 0, 32, 0, 0, 0, 0, 0, 0, 32
"d:\Desktop\LabWeb\LabWebProject\static\svg\correct.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\dasi.svg", "SVG", 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Desktop\LabWeb\LabWebProject\static\svg\data.svg", "SVG", 0, 20, 0, 0, 0, 0, 1, 1, 22
"d:\Desktop\LabWeb\LabWebProject\static\svg\location.svg", "SVG", 0, 6, 0, 0, 0, 0, 1, 5, 12
"d:\Desktop\LabWeb\LabWebProject\static\svg\navigation.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\news.svg", "SVG", 0, 16, 0, 0, 0, 0, 1, 1, 18
"d:\Desktop\LabWeb\LabWebProject\static\svg\rose.svg", "SVG", 0, 28, 0, 0, 0, 0, 1, 1, 30
"d:\Desktop\LabWeb\LabWebProject\static\svg\search.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\search_active.svg", "SVG", 0, 22, 0, 0, 0, 0, 0, 1, 23
"d:\Desktop\LabWeb\LabWebProject\static\svg\to_after.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\to_before.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\whu.svg", "SVG", 0, 22, 0, 0, 0, 0, 0, 0, 22
"d:\Desktop\LabWeb\LabWebProject\templates\404.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 33
"d:\Desktop\LabWeb\LabWebProject\templates\adminBase.html", "HTML", 42, 0, 0, 0, 0, 0, 0, 0, 42
"d:\Desktop\LabWeb\LabWebProject\templates\adminNews.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 0, 32
"d:\Desktop\LabWeb\LabWebProject\templates\adminNewsDetail.html", "HTML", 84, 0, 0, 0, 0, 0, 0, 0, 84
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchField.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 0, 40
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchThesis.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 0, 60
