"filename", "language", "Python", "SQL", "SVG", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_left.svg", "SVG", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_right.svg", "SVG", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_top.svg", "SVG", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\building.svg", "SVG", 0, 0, 40, 0, 0, 0, 0, 0, 40
"d:\Desktop\LabWeb\LabWebProject\static\svg\control.svg", "SVG", 0, 0, 32, 0, 0, 0, 0, 0, 32
"d:\Desktop\LabWeb\LabWebProject\static\svg\correct.svg", "SVG", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\dasi.svg", "SVG", 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Desktop\LabWeb\LabWebProject\static\svg\data.svg", "SVG", 0, 0, 20, 0, 0, 0, 1, 1, 22
"d:\Desktop\LabWeb\LabWebProject\static\svg\news.svg", "SVG", 0, 0, 16, 0, 0, 0, 1, 1, 18
"d:\Desktop\LabWeb\LabWebProject\static\svg\rose.svg", "SVG", 0, 0, 28, 0, 0, 0, 1, 1, 30
"d:\Desktop\LabWeb\LabWebProject\static\svg\search.svg", "SVG", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\search_active.svg", "SVG", 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Desktop\LabWeb\LabWebProject\static\svg\whu.svg", "SVG", 0, 0, 22, 0, 0, 0, 0, 0, 22
"d:\Desktop\LabWeb\LabWebProject\templates\404.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 0, 33
"d:\Desktop\LabWeb\LabWebProject\templates\adminBase.html", "HTML", 0, 0, 0, 39, 0, 0, 0, 0, 39
"d:\Desktop\LabWeb\LabWebProject\templates\adminNews.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 0, 29
"d:\Desktop\LabWeb\LabWebProject\templates\adminNewsDetail.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 85
"d:\Desktop\LabWeb\LabWebProject\templates\adminSlider.html", "HTML", 0, 0, 0, 114, 0, 0, 0, 0, 114
"d:\Desktop\LabWeb\LabWebProject\templates\adminUser.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 1, 50
"d:\Desktop\LabWeb\LabWebProject\templates\adminUserDetail.html", "HTML", 0, 0, 0, 108, 0, 0, 0, 0, 108
"d:\Desktop\LabWeb\LabWebProject\templates\base.html", "HTML", 0, 0, 0, 122, 0, 0, 0, 0, 122
"d:\Desktop\LabWeb\LabWebProject\templates\main.html", "HTML", 0, 0, 0, 192, 0, 0, 0, 1, 193
"d:\Desktop\LabWeb\LabWebProject\templates\signIn.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 64
"d:\Desktop\LabWeb\LabWebProject\templates\test.html", "HTML", 0, 0, 0, 57, 0, 0, 2, 1, 60
"Total", "-", 967, 0, 236, 892, 1515, 3589, 71, 701, 7971
